,start,end,activity
5394,1387596960,1387597560,inactive
5395,1387596180,1387596960,light_activity
5396,1387596000,1387596180,inactive
5397,1387595940,1387596000,light_activity
5398,1387595640,1387595940,inactive
5399,1387595340,1387595640,light_activity
5400,1387594740,1387595340,inactive
5401,1387593900,1387594740,light_activity
5402,1387593720,1387593900,inactive
5403,1387593540,1387593720,light_activity
5404,1387592880,1387593540,moderate_activity
5405,1387592520,1387592880,light_activity
5406,1387592220,1387592520,inactive
5407,1387591620,1387592220,light_activity
5408,1387591320,1387591620,inactive
5409,1387590840,1387591320,light_activity
5410,1387590120,1387590840,moderate_activity
5411,1387590060,1387590120,light_activity
5412,1387589820,1387590060,inactive
5413,1387589760,1387589820,light_activity
5414,1387589460,1387589760,inactive
5415,1387589400,1387589460,light_activity
5416,1387586280,1387589400,inactive
5417,1387585080,1387586280,light_activity
5418,1387584900,1387585080,inactive
5419,1387583940,1387584900,light_activity
5420,1387582500,1387583940,inactive
5421,1387582140,1387582500,light_activity
5422,1387581900,1387582140,inactive
5423,1387581840,1387581900,light_activity
5424,1387580580,1387581840,inactive
5425,1387580280,1387580580,light_activity
5426,1387578900,1387580280,inactive
5427,1387578780,1387578900,light_activity
5428,1387578180,1387578780,inactive
5429,1387577940,1387578180,light_activity
5430,1387577520,1387577940,inactive
5431,1387577460,1387577520,light_activity
5432,1387574760,1387577460,inactive
5433,1387574460,1387574760,light_activity
5434,1387573560,1387574460,inactive
5435,1387573380,1387573560,light_activity
5436,1387573080,1387573380,inactive
5437,1387572360,1387573080,light_activity
5438,1387571880,1387572360,inactive
5439,1387570680,1387571880,light_activity
5440,1387569780,1387570680,inactive
5441,1387569720,1387569780,light_activity
5442,1387568100,1387569720,inactive
5443,1387567860,1387568100,light_activity
5444,1387561800,1387567860,inactive
5445,1387561380,1387561800,light_activity
5446,1387559940,1387561380,inactive
5447,1387559880,1387559940,light_activity
5448,1387558560,1387559880,inactive
5449,1387557720,1387558560,light_activity
5450,1387556160,1387557720,inactive
5451,1387555980,1387556160,light_activity
